,,Accuracy,Accuracy,Macro F1,Macro F1,Neg Recall,Neg Recall
Label version,,After (fixed labels),Before (buggy labels),After (fixed labels),Before (buggy labels),After (fixed labels),Before (buggy labels)
Model,Balancing,,,,,,
NN,ADASYN,0.896,0.881,0.775578588078588,0.5404558725079238,0.46938775510204084,0.14285714285714285
NN,Borderline-SMOTE,0.885,0.879,0.751113616607419,0.5329447280234153,0.4489795918367347,0.14285714285714285
NN,None,0.896,0.885,0.778095220304491,0.5302668503263887,0.4489795918367347,0.14285714285714285
NN,ROS,0.899,0.88,0.7741537644363063,0.5298611111111111,0.4489795918367347,0.14285714285714285
NN,RUS,0.688,0.382,0.5710216692039859,0.2658735245720369,0.7346938775510204,0.5714285714285714
NN,SMOTE,0.895,0.877,0.7820240591535356,0.5330779102810904,0.4897959183673469,0.14285714285714285
SVM,ADASYN,0.895,0.911,0.7549281747879446,0.5290861405293285,0.32653061224489793,0.14285714285714285
SVM,Borderline-SMOTE,0.895,0.909,0.7553865199046551,0.44444972388524606,0.32653061224489793,0.0
SVM,None,0.888,0.901,0.7023993396874753,0.3891796610169492,0.20408163265306123,0.0
SVM,ROS,0.902,0.908,0.7706729696420419,0.539675792929589,0.3673469387755102,0.14285714285714285
SVM,RUS,0.701,0.573,0.6168595293981473,0.3454501986428999,0.8367346938775511,0.2857142857142857
SVM,SMOTE,0.89,0.911,0.7472009093492469,0.5290861405293285,0.32653061224489793,0.14285714285714285
